"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@costa_rui @educacaobahia E quando este trabalho é iniciado nos anos iniciais da criança,melhor ainda.",FALSE,2,"costa_rui",2017-02-08 18:31:11,FALSE,"829314576214790144","829397180712701956","68466700","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MG_coreografa",0,FALSE,FALSE,NA,NA
"@costa_rui governador mandando bem na educação dos baianos....excelente ano pra todos nós!!!",FALSE,7,"costa_rui",2017-02-08 18:30:18,FALSE,"829346240202686464","829396955474313216","68466700","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlgmurilo",2,FALSE,FALSE,NA,NA
"@costa_rui @educacaobahia @governodabahia Falou e disse Governador!!!",FALSE,1,"costa_rui",2017-02-08 18:29:54,FALSE,"829329337132396544","829396856392339462","68466700","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MG_coreografa",0,FALSE,FALSE,NA,NA
"@luizhenriquecb8 @costa_rui Acho que o Bahia tem como solicitar do @governodabahia uma ação nesse sentido. Confio no @ECBahia para resolver.",FALSE,0,"luizhenriquecb8",2017-02-08 18:27:20,FALSE,"829390207371862016","829396211782340620","728967757233033216","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ADRIANOPRAZERES",0,FALSE,FALSE,NA,NA
"RT @costa_rui: Assino agora o termo de colaboração com a Google, que dará fruto a uma rede social que integra estudantes e professores. @ed…",FALSE,0,NA,2017-02-08 17:57:05,FALSE,NA,"829388597417693193",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fabriciusantana",10,TRUE,FALSE,NA,NA
"RT @costa_rui: Todas as escolas da rede estadual terão coordenação pedagógica! Este é o nosso compromisso",FALSE,0,NA,2017-02-08 17:15:07,FALSE,NA,"829378036948750336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lidptba",12,TRUE,FALSE,NA,NA
"Podia começar com os dados da administração penitênciaria @costa_rui 

https://t.co/K0W7Jxcpyr",FALSE,0,NA,2017-02-08 17:11:47,FALSE,NA,"829377197391671296",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","sisdipe",0,FALSE,FALSE,NA,NA
"RT @Mavsampaio: Governador @costa_rui
Orgulho da Bahia do Brasil
Ñ se faz política humilhando e maltratando adversário
Respeitem a democrac…",FALSE,0,NA,2017-02-08 17:10:20,FALSE,NA,"829376833506463747",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annamysti",64,TRUE,FALSE,NA,NA
"RT @costa_rui: Nós podemos transformar as nossas vidas pela educação. Sintonize #TVE @tvebahia e acompanhe a #aulainaugural",FALSE,0,NA,2017-02-08 17:06:00,FALSE,NA,"829375740256854021",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","anselmogomes534",4,TRUE,FALSE,NA,NA
"RT @Mavsampaio: Governador @costa_rui
Orgulho da Bahia do Brasil
Ñ se faz política humilhando e maltratando adversário
Respeitem a democrac…",FALSE,0,NA,2017-02-08 17:04:23,FALSE,NA,"829375333153529856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yosefsilva",64,TRUE,FALSE,NA,NA
"RT @Mavsampaio: Governador @costa_rui
Orgulho da Bahia do Brasil
Ñ se faz política humilhando e maltratando adversário
Respeitem a democrac…",FALSE,0,NA,2017-02-08 17:00:45,FALSE,NA,"829374421659955200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mavsampaio",64,TRUE,FALSE,NA,NA
"RT @Camilabasouza: @costa_rui  Parabéns pela luta na Bahia! Educação, saúde e educação TOP na Bahia. Vamos nomear 23 Delegados restantes em…",FALSE,0,NA,2017-02-08 16:35:24,FALSE,NA,"829368041993547777",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osvaldodafeira",1,TRUE,FALSE,NA,NA
"RT @costa_rui: Educação precisa de infraestrutura melhor, material didático, tecnologia, mas, acima de tudo, precisa do envolvimento e apoi…",FALSE,0,NA,2017-02-08 16:28:20,FALSE,NA,"829366262304239616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marceloqueiro55",10,TRUE,FALSE,NA,NA
